David Black,6343264389228831,202.53,Transfer,Client Payment Received,3274899058521530
John Doe,7537262403900219,774.45,Transfer,Transfer to Savings Account,7478654712228507
Henry Gold,2001517069397449,135.36,Credit,Reimbursement for Travel Expenses,
Bob Brown,8764245047421024,369.92,Transfer,Payment for Services Rendered,6116297510682636
Alice Johnson,9796302781277637,522.92,Debit,Online Purchase,
Grace Pink,7740049511595961,986.37,Transfer,Reimbursement for Travel Expenses,1759824692448192
Alice Johnson,6193117629679068,222.62,Transfer,Transfer to Savings Account,3035662827572649
Bob Brown,5296171676603780,410.2,Credit,Office Supplies Purchase,
David Black,9141373356287625,666.3,Credit,Client Payment Received,
Frank Blue,7867900287793150,23.15,Credit,Refund for Returned Items,
Grace Pink,8981571948284688,480.37,Credit,Transfer to Savings Account,
Henry Gold,2353310188627344,158.36,Credit,Monthly Subscription Fee,
David Black,6211414077060495,536.41,Transfer,Office Supplies Purchase,3007665040071067
Grace Pink,5523032413829442,240.66,Debit,Credit Card Payment,
Frank Blue,1953801143366746,454.34,Transfer,Payment for Services Rendered,4291479849351017
Eva Green,5964342068649073,547.16,Debit,Credit Card Payment,
Carol White,5012301129052641,255.79,Transfer,Refund for Returned Items,8661199439297271
Henry Gold,3247382275909318,460.54,Transfer,Bonus Payment,4040392830904376
Grace Pink,7103012980326296,166.67,Credit,Bonus Payment,
Eva Green,8980161107057141,882.32,Credit,Bonus Payment,
Frank Blue,5642636281168408,846.7,Transfer,Credit Card Payment,2156204834780496
Carol White,7753319942767869,472.83,Credit,Online Purchase,
Alice Johnson,8150653584747592,631.47,Debit,Office Supplies Purchase,
Jane Smith,8623071400661036,580.01,Debit,Reimbursement for Travel Expenses,
Carol White,2043076984197156,225.77,Transfer,Refund for Returned Items,3071665484705679
Carol White,2487687226909102,307.37,Credit,Transfer to Savings Account,
John Doe,5216288133700503,171.86,Debit,Office Supplies Purchase,
Eva Green,2026110346742908,553.89,Debit,Bonus Payment,
John Doe,1091976209492255,145.95,Debit,Credit Card Payment,
Eva Green,1361967051267476,568.13,Debit,Monthly Subscription Fee,
Jane Smith,4687315936332935,5.05,Debit,Reimbursement for Travel Expenses,
Frank Blue,5080111719027750,19.94,Transfer,Transfer to Savings Account,9722361470430520
Jane Smith,9818484273650170,96.33,Transfer,Bonus Payment,3623731793236874
Grace Pink,1091976209492255,835.57,Credit,Credit Card Payment,
Frank Blue,9125641789995673,866.08,Debit,Office Supplies Purchase,
Grace Pink,8677283115050417,172.21,Debit,Client Payment Received,
Frank Blue,2321605531485986,783.08,Debit,Transfer to Savings Account,
Jane Smith,6468047065913312,57.08,Debit,Monthly Subscription Fee,
David Black,1901325817749885,438.12,Transfer,Monthly Subscription Fee,3269876819559013
Jane Smith,3716740338090900,440.52,Credit,Client Payment Received,
Jane Smith,1572282814385639,968.57,Debit,Online Purchase,
Alice Johnson,7483511231740136,23.37,Credit,Bonus Payment,
Bob Brown,3039056770693624,403.54,Credit,Bonus Payment,
Frank Blue,4191679388203764,838.38,Transfer,Monthly Subscription Fee,1319236205912792
John Doe,4744410929925691,656.14,Transfer,Payment for Services Rendered,5182134507884562
David Black,1654882012221043,46.36,Credit,Online Purchase,
Henry Gold,2099469514050535,346.41,Credit,Transfer to Savings Account,
John Doe,5759512654208502,774.39,Transfer,Refund for Returned Items,3991932413141041
Frank Blue,6407096576172680,428.32,Debit,Refund for Returned Items,
Grace Pink,6359214302197596,903.36,Transfer,Client Payment Received,5299257693455632
Grace Pink,7894821458468751,501.52,Transfer,Office Supplies Purchase,3764451176850166
Alice Johnson,5549957650509004,839.44,Debit,Payment for Services Rendered,
Grace Pink,1780813057117315,73.09,Transfer,Office Supplies Purchase,8857696503308058
John Doe,4613774958315170,659.6,Debit,Reimbursement for Travel Expenses,
Frank Blue,4969998211184690,139.21,Debit,Credit Card Payment,
Carol White,3436839219428577,365.86,Credit,Payment for Services Rendered,
Grace Pink,1720761265374654,814.02,Transfer,Monthly Subscription Fee,2800117258657595
Bob Brown,8338693680417829,201.11,Transfer,Client Payment Received,6547657441535724
Jane Smith,6713844979695208,930.49,Credit,Monthly Subscription Fee,
Carol White,1628728579046428,316.95,Debit,Reimbursement for Travel Expenses,
Grace Pink,3075078001931248,672.36,Transfer,Payment for Services Rendered,9907211484346284
Jane Smith,3473238242500013,754.23,Transfer,Refund for Returned Items,8163809153696860
John Doe,7589919582164339,201.54,Debit,Reimbursement for Travel Expenses,
Grace Pink,9735104697085676,425.74,Debit,Office Supplies Purchase,
Grace Pink,6058892346064076,41.65,Debit,Office Supplies Purchase,
Grace Pink,7150750646571703,975.21,Transfer,Reimbursement for Travel Expenses,1971774579808236
Bob Brown,5082357084215936,930.11,Debit,Reimbursement for Travel Expenses,
Henry Gold,2242052917197829,357.32,Transfer,Bonus Payment,8062364597572118
Carol White,1557643663481878,11.11,Debit,Online Purchase,
Eva Green,6495934941665860,884.34,Debit,Reimbursement for Travel Expenses,
David Black,7933788301267324,910.29,Debit,Office Supplies Purchase,
Frank Blue,6373377267530071,785.59,Credit,Office Supplies Purchase,
Eva Green,8265895365337654,362.26,Credit,Refund for Returned Items,
Alice Johnson,8816271417675219,723.9,Credit,Office Supplies Purchase,
Grace Pink,6360440854633977,966.53,Credit,Reimbursement for Travel Expenses,
John Doe,7522789644919184,755.73,Debit,Reimbursement for Travel Expenses,
Eva Green,4515740447565809,6.56,Debit,Client Payment Received,
Henry Gold,6638894959095028,140.91,Debit,Client Payment Received,
Jane Smith,8321954160450510,491.35,Transfer,Monthly Subscription Fee,8616826225336881
David Black,4839381186345623,262.67,Debit,Reimbursement for Travel Expenses,
Bob Brown,4006273107583003,547.44,Transfer,Online Purchase,8567611645666689
Alice Johnson,3830924822632282,976.99,Credit,Online Purchase,
Eva Green,6403034350814816,276.49,Credit,Credit Card Payment,
Carol White,3062416748107041,867.68,Transfer,Credit Card Payment,7005348547325842
Frank Blue,4853889206866639,552.0,Transfer,Office Supplies Purchase,4969998211184690
Frank Blue,2630841418913621,413.01,Credit,Client Payment Received,
Alice Johnson,3716740338090900,779.14,Transfer,Transfer to Savings Account,6713844979695208
Frank Blue,3068965387548392,454.69,Debit,Online Purchase,
